chinese,english
你好,Hello
早上好,Good morning
中午好,Good noon
下午好,Good afternoon
晚上好,Good evening
晚安,Good night
再见,Goodbye
谢谢,Thank you
非常感谢,Thank you very much
不客气,You are welcome
对不起,Sorry
没关系,It's okay
打扰了,Excuse me
你好吗,How are you
你呢,How about you
你叫什么名字,What's your name
我叫小明,My name is Xiaoming
很高兴认识你,Nice to meet you
你来自哪里,Where are you from
欢迎,Welcome
请进,Come in please
请坐,Sit down please
请稍等,Please wait a moment
快点,Hurry up
慢点,Slow down
安静,Be quiet
加油,Come on
真棒,Awesome
太好了,Great
好的,Okay
不行,No
可以,Yes
明白,Understand
不知道,I don't know
我饿了,I'm hungry
我渴了,I'm thirsty
我累了,I'm tired
我困了,I'm sleepy
我想吃米饭,I want to eat rice
我想喝水,I want to drink water
我想睡觉,I want to sleep
我想回家,I want to go home
我喜欢学习,I like studying
我喜欢读书,I like reading books
我喜欢运动,I like sports
我喜欢音乐,I like music
我喜欢画画,I like drawing
今天天气很好,The weather is nice today
今天是晴天,It's sunny today
今天下雨了,It's raining today
今天刮风了,It's windy today
今天很冷,It's cold today
今天很热,It's hot today
现在几点了,What time is it now
现在是早上,It's morning now
现在是中午,It's noon now
现在是晚上,It's night now
今天星期几,What day is it today
今天星期一,Today is Monday
今天星期二,Today is Tuesday
今天星期三,Today is Wednesday
今天星期四,Today is Thursday
今天星期五,Today is Friday
今天星期六,Today is Saturday
今天星期日,Today is Sunday
我爱中国,I love China
我爱家人,I love my family
我爱朋友,I love my friends
我爱学习,I love studying
我爱生活,I love life
爸爸,Father
妈妈,Mother
哥哥,Brother
姐姐,Sister
爷爷,Grandfather
奶奶,Grandmother
老师,Teacher
学生,Student
医生,Doctor
工人,Worker
农民,Farmer
警察,Police
司机,Driver
厨师,Cook
苹果,Apple
香蕉,Banana
橙子,Orange
西瓜,Watermelon
牛奶,Milk
鸡蛋,Egg
面包,Bread
咖啡,Coffee
学校,School
公园,Park
医院,Hospital
商店,Shop
城市,City
乡村,Countryside
太阳从东方升起。,The sun rises in the east.
月亮在夜晚出现。,The moon appears at night.
水在常温下是液体。,Water is liquid at room temperature.
空气是生命必需的物质。,Air is essential for life.
